,time,open,high,low,close,tick_volume,spread,real_volume
67,2021-04-07,1.18734,1.1914,1.18601,1.18646,642007,15,96301050000
68,2021-04-08,1.18646,1.19266,1.186,1.19119,575116,15,86267400000
69,2021-04-09,1.19119,1.19194,1.18663,1.18981,605787,13,90868050000
70,2021-04-12,1.18903,1.19183,1.18705,1.19096,576141,15,86421150000
71,2021-04-13,1.19095,1.19551,1.18768,1.19475,595641,15,89346150000
72,2021-04-14,1.19474,1.19866,1.19454,1.1978900000000001,583056,15,87458400000
73,2021-04-15,1.1978900000000001,1.19926,1.19554,1.19655,582066,15,87309900000
74,2021-04-16,1.19649,1.1994,1.19498,1.19842,565788,13,84868200000
75,2021-04-19,1.19716,1.20472,1.19418,1.20363,654622,15,98193300000
76,2021-04-20,1.20363,1.20791,1.20217,1.20349,645364,15,96804600000
77,2021-04-21,1.20349,1.2043,1.19978,1.20341,581091,15,87163650000
78,2021-04-22,1.2034,1.20689,1.19929,1.20141,668874,15,100331100000
79,2021-04-23,1.20142,1.20993,1.20122,1.20959,604737,13,90710550000
80,2021-04-26,1.20916,1.21162,1.20603,1.20845,584279,15,87641850000
81,2021-04-27,1.20845,1.2092,1.2056,1.20889,569612,15,85441800000
82,2021-04-28,1.20889,1.21338,1.2055500000000001,1.2125,667755,15,100163250000
83,2021-04-29,1.2125,1.21492,1.21014,1.21198,615279,15,92291850000
84,2021-04-30,1.21198,1.21258,1.20158,1.20193,637096,13,95564400000
85,2021-05-03,1.20318,1.20752,1.20123,1.20631,510135,15,76520250000
86,2021-05-04,1.20631,1.2064300000000001,1.19983,1.20123,641245,15,96186750000
87,2021-05-05,1.20123,1.20259,1.19852,1.20035,578876,15,86831400000
88,2021-05-06,1.20035,1.20708,1.19924,1.20642,457584,15,68637600000
89,2021-05-07,1.20642,1.21708,1.20522,1.21664,717936,13,107690400000
90,2021-05-10,1.21599,1.21775,1.21271,1.21282,725560,15,108834000000
91,2021-05-11,1.21278,1.2180900000000001,1.21223,1.21473,783231,15,117484650000
92,2021-05-12,1.21473,1.21515,1.20648,1.20712,790354,15,118553100000
93,2021-05-13,1.20709,1.21054,1.20507,1.20803,571663,14,85749450000
94,2021-05-14,1.20803,1.21495,1.20702,1.21495,684268,13,102640200000
95,2021-05-17,1.21442,1.21681,1.21254,1.21507,706357,15,105953550000
96,2021-05-18,1.21507,1.22334,1.21486,1.22216,665882,15,99882300000
97,2021-05-19,1.22216,1.22445,1.2159200000000001,1.21741,811007,15,121651050000
98,2021-05-20,1.21741,1.22284,1.21682,1.22266,672704,15,100905600000
99,2021-05-21,1.22266,1.2239,1.216,1.21784,662020,13,99303000000
100,2021-05-24,1.2176,1.22292,1.21715,1.22139,651398,15,97709700000
101,2021-05-25,1.22139,1.22657,1.22108,1.22482,679693,15,101953950000
102,2021-05-26,1.22482,1.22622,1.21811,1.21914,665973,15,99895950000
103,2021-05-27,1.21914,1.22143,1.21745,1.21938,620566,15,93084900000
104,2021-05-28,1.21938,1.22042,1.21319,1.21916,638859,13,95828850000
105,2021-05-31,1.21988,1.22306,1.21826,1.22243,408401,15,61260150000
106,2021-06-01,1.22243,1.22536,1.22112,1.22122,627995,15,94199250000
107,2021-06-02,1.22122,1.22258,1.21634,1.221,628903,15,94335450000
108,2021-06-03,1.22105,1.22134,1.2117499999999999,1.21262,594516,15,89177400000
109,2021-06-04,1.21262,1.2185,1.21033,1.2166,612360,13,91854000000
